Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.16354E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
9.2,1.53359,0.37505,0.00003,,,,,17335.01576,27.33614585
9.25,1.5425,0.38758,0.00004,,,,,17914.1592,27.49496605
9.3,1.55062,0.364,-0.00001,,,,,16824.27873,27.63970454
9.35,1.55844,0.39868,0,,,,,18427.20726,27.77909555
9.4,1.56703,0.39148,0,,,,,18094.41933,27.93221176
9.45,1.57578,0.37307,-0.00001,,,,,17243.49908,28.08817997
9.5,1.58375,0.37951,0.00002,,,,,17541.1594,28.23024472
9.55,1.59203,0.38607,0.00001,,,,,17844.36618,28.3778352
9.6,1.60062,0.41395,0,,,,,19132.995,28.53095141
9.65,1.60891,0.37584,0,,,,,17371.52999,28.67872014
9.7,1.61672,0.41156,0,,,,,19022.52789,28.81793291
9.75,1.62547,0.4086,0,,,,,18885.71508,28.97390111
9.8,1.63406,0.40754,0.00002,,,,,18836.7213,29.12701732
9.85,1.64187,0.41251,0.00001,,,,,19066.43741,29.26623008
9.9,1.65016,0.39971,-0.00001,,,,,18474.81442,29.41399881
9.95,1.65906,0.40039,0.00002,,,,,18506.2444,29.57264076
10,1.66734,0.40169,-0.00001,,,,,18566.33111,29.72023124
10.05,1.67516,0.41193,0,,,,,19039.6295,29.85962225
10.1,1.68375,0.41212,0.00002,,,,,19048.4114,30.01273846
10.15,1.69281,0.4187,0,,,,,19352.54259,30.1742324
10.2,1.70047,0.41637,0.00001,,,,,19244.84872,30.31077142
10.25,1.70844,0.40992,0.00001,,,,,18946.7262,30.45283617
10.3,1.71719,0.41454,-0.00001,,,,,19160.26512,30.60880437
10.35,1.72594,0.41458,0.00002,,,,,19162.11394,30.76477258
10.4,1.73359,0.43359,0.00001,,,,,20040.76652,30.90113335
10.45,1.74187,0.42185,-0.00001,,,,,19498.13731,31.04872383
10.5,1.75078,0.40322,0.00001,,,,,18637.04854,31.20754402
10.55,1.75891,0.42622,0,,,,,19700.1211,31.35246076
10.6,1.76687,0.41507,0,,,,,19184.76201,31.49434727
10.65,1.77547,0.45733,0.00002,,,,,21138.04228,31.64764173
10.7,1.78391,0.43034,0,,,,,19890.54975,31.7980842
10.75,1.79187,0.42528,0.00001,,,,,19656.67378,31.9399707
10.8,1.80016,0.44104,0.00001,,,,,20385.10959,32.08773944
10.85,1.80891,0.45975,-0.00001,,,,,21249.896,32.24370764
10.9,1.81719,0.46292,0.00001,,,,,21396.41513,32.39129812
10.95,1.82531,0.43412,0,,,,,20065.26341,32.53603661
11,1.83391,0.44088,0,,,,,20377.7143,32.68933107
11.05,1.84234,0.44488,0.00002,,,,,20562.59649,32.8395953
11.1,1.85031,0.42792,0,,,,,19778.69603,32.98166005
11.15,1.85859,0.47777,0,,,,,22082.79024,33.12925053
11.2,1.8675,0.4583,0.00001,,,,,21182.87621,33.28807072
11.25,1.87562,0.46537,0,,,,,21509.65547,33.43280922
11.3,1.88344,0.45757,0.00001,,,,,21149.13521,33.57220023
11.35,1.89219,0.44941,0.00001,,,,,20771.97556,33.72816843
11.4,1.90094,0.49121,0,,,,,22703.99438,33.88413663
11.45,1.90859,0.46522,0,,,,,21502.72239,34.0204974
11.5,1.91672,0.47046,0.00001,,,,,21744.91805,34.16541415
11.55,1.92547,0.47289,0.00001,,,,,21857.23398,34.32138235
11.6,1.93406,0.46058,0,,,,,21288.25906,34.47449856
11.65,1.94187,0.48689,0.00001,,,,,22504.32162,34.61371132
11.7,1.95016,0.47722,0,,,,,22057.36894,34.76148006
11.75,1.95906,0.4858,0,,,,,22453.94123,34.920122
11.8,1.96719,0.4868,0.00001,,,,,22500.16177,35.06503874
11.85,1.97531,0.496,0.00001,,,,,22925.39079,35.20977723
11.9,1.98375,0.50097,0.00001,,,,,23155.10691,35.36021971
11.95,1.99234,0.47261,0.00001,,,,,21844.29222,35.51333592
12,2.00031,0.48293,0,,,,,22321.28826,35.65540067
12.05,2.00875,0.4812,0.00001,,,,,22241.32671,35.80584314
12.1,2.01734,0.49628,0.00001,,,,,22938.33255,35.95895935
