Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.64044E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
7.25,1.20844,0.95977,0,,,,,36348.8661,8.619210833
7.3,1.21687,0.96221,0,,,,,36441.27494,8.679337896
7.35,1.22562,0.96184,0,,,,,36427.26212,8.741747361
7.4,1.23375,0.96242,0,,,,,36449.22816,8.799734671
7.45,1.24172,0.99236,0,,,,,37583.13008,8.856580778
7.5,1.25047,0.9885,0,,,,,37436.94233,8.918990244
7.55,1.25891,1.01182,0,,,,,38320.12846,8.979188632
7.6,1.26687,0.98863,0,,,,,37441.86575,9.035963414
7.65,1.27531,1.01864,0,,,,,38578.41875,9.096161802
7.7,1.28391,1.017,0,,,,,38516.30789,9.157501391
7.75,1.29187,1.02961,0,,,,,38993.87981,9.214276173
7.8,1.3,1.03606,0,,,,,39238.15728,9.272263483
7.85,1.30891,1.01663,0,,,,,38502.29507,9.33581415
7.9,1.31734,1.06124,0,,,,,40191.78622,9.395941213
7.95,1.325,1.05572,0.00001,,,,,39982.73015,9.450576242
8,1.33359,1.07352,0,,,,,40656.86022,9.511844506
8.05,1.34234,1.0681,-0.00001,,,,,40451.5914,9.574253972
8.1,1.35031,1.06583,0.00001,,,,,40365.62088,9.631100079
8.15,1.35812,1.09685,0,,,,,41540.42508,9.686804985
8.2,1.36703,1.0731,0,,,,,40640.95378,9.750355653
8.25,1.37578,1.12506,0.00001,,,,,42608.80762,9.812765119
8.3,1.38344,1.10516,-0.00001,,,,,41855.14535,9.867400148
8.35,1.39156,1.12576,0.00002,,,,,42635.31836,9.925316132
8.4,1.40062,1.12269,0,,,,,42519.04986,9.989936676
8.45,1.40906,1.13007,0,,,,,42798.54873,10.05013506
8.5,1.41672,1.13468,0.00003,,,,,42973.14084,10.10477009
8.55,1.42516,1.14125,-0.00003,,,,,43221.96301,10.16496848
8.6,1.43406,1.12061,0,,,,,42440.27511,10.22844782
8.65,1.44203,1.16848,0.00002,,,,,44253.23052,10.28529393
8.7,1.45,1.15715,-0.00002,,,,,43824.13537,10.34214004
8.75,1.45875,1.1603,0.00002,,,,,43943.43367,10.4045495
8.8,1.46734,1.19309,0.00001,,,,,45185.27215,10.46581777
8.85,1.47531,1.16663,-0.00001,,,,,44183.16644,10.52266388
8.9,1.48359,1.18491,0.00002,,,,,44875.4753,10.58172106
8.95,1.49219,1.19722,-0.00001,,,,,45341.68548,10.64306065
9,1.50031,1.19563,0,,,,,45281.46824,10.70097664
9.05,1.50844,1.22756,0.00002,,,,,46490.73639,10.75896394
9.1,1.51703,1.2129,-0.00001,,,,,45935.5259,10.82023221
9.15,1.52547,1.21731,0.00001,,,,,46102.54352,10.8804306
9.2,1.53344,1.21879,0.00001,,,,,46158.59478,10.9372767
9.25,1.54187,1.22356,-0.00001,,,,,46339.24649,10.99740377
9.3,1.55078,1.24183,0.00002,,,,,47031.17662,11.06095443
9.35,1.55891,1.25086,0,,,,,47373.16508,11.11894174
9.4,1.56672,1.22495,-0.00001,,,,,46391.88923,11.17464665
9.45,1.57531,1.26068,0.00001,,,,,47745.07279,11.23591491
9.5,1.58422,1.27304,-0.00001,,,,,48213.17659,11.29946558
9.55,1.59187,1.26522,0,,,,,47917.01383,11.35402928
9.6,1.6,1.28501,0.00002,,,,,48666.51013,11.41201659
9.65,1.60891,1.29371,-0.00001,,,,,48996.00067,11.47556726
9.7,1.61734,1.29808,0.00001,,,,,49161.50339,11.53569432
9.75,1.62516,1.29905,0.00001,,,,,49198.23969,11.59147056
9.8,1.63359,1.32097,-0.00001,,,,,50028.40436,11.65159762
9.85,1.64219,1.31579,0.00001,,,,,49832.22493,11.71293721
9.9,1.65031,1.33742,0.00001,,,,,50651.40658,11.77085319
9.95,1.65828,1.34038,0,,,,,50763.50911,11.8276993
10,1.66703,1.32547,0.00001,,,,,50198.8305,11.89010876
10.05,1.67547,1.32931,0,,,,,50344.26081,11.95030715
10.1,1.68344,1.36181,0,,,,,51575.11627,12.00715326
10.15,1.69187,1.37833,0.00001,,,,,52200.76957,12.06728032
10.2,1.70047,1.36341,0,,,,,51635.71223,12.12861991
10.25,1.70875,1.3856,0,,,,,52476.10247,12.1876771
10.3,1.71687,1.38291,0.00001,,,,,52374.22551,12.24559308
10.35,1.72547,1.37762,0,,,,,52173.88011,12.30693267
10.4,1.73391,1.39694,0,,,,,52905.57634,12.36713106
10.45,1.74187,1.36938,0.00001,,,,,51861.81091,12.42390584
10.5,1.75031,1.41971,0,,,,,53767.93262,12.48410423
10.55,1.75906,1.42234,0,,,,,53867.53723,12.54651369
10.6,1.76703,1.42685,0.00001,,,,,54038.34209,12.6033598
10.65,1.775,1.41477,0,,,,,53580.84259,12.66020591
10.7,1.78375,1.44236,0,,,,,54625.74419,12.72261537
10.75,1.79234,1.43697,0.00001,,,,,54421.61155,12.78388364
10.8,1.80016,1.44431,-0.00001,,,,,54699.59552,12.83965987
10.85,1.80828,1.46635,0,,,,,55534.30489,12.89757585
10.9,1.81734,1.45545,0.00001,,,,,55121.4949,12.9621964
10.95,1.82562,1.44585,-0.00001,,,,,54757.91913,13.02125358
11,1.83328,1.46191,0,,,,,55366.1511,13.07588861
11.05,1.84172,1.46756,0.00001,,,,,55580.13058,13.136087
11.1,1.85047,1.46636,0,,,,,55534.68361,13.19849647
11.15,1.85859,1.47129,0.00001,,,,,55721.39492,13.25641245
11.2,1.86672,1.49808,0,,,,,56735.99855,13.31439976
11.25,1.87547,1.5129,0,,,,,57297.26864,13.37680923
11.3,1.88391,1.51772,0.00001,,,,,57479.81397,13.43700761
11.35,1.89187,1.51107,0,,,,,57227.96201,13.4937824
11.4,1.90031,1.53186,0,,,,,58015.33078,13.55398078
11.45,1.90891,1.53414,0.00001,,,,,58101.68002,13.61532037
11.5,1.91703,1.55028,0,,,,,58712.94178,13.67323636
11.55,1.92516,1.5748,0,,,,,59641.57489,13.73122367
11.6,1.93391,1.55414,0,,,,,58859.12954,13.79363313
11.65,1.94219,1.54612,0,,,,,58555.39228,13.85269032
11.7,1.95016,1.56317,0,,,,,59201.118,13.90953643
11.75,1.95859,1.58959,0,,,,,60201.70881,13.96966349
11.8,1.96734,1.58941,0,,,,,60194.89176,14.03207295
11.85,1.97531,1.58365,0,,,,,59976.7463,14.08891906
11.9,1.98312,1.59228,0.00001,,,,,60303.58577,14.14462397
11.95,1.99203,1.60121,0,,,,,60641.78697,14.20817463
12,2.00062,1.60454,0,,,,,60767.90232,14.2694429
12.05,2.00844,1.60234,0,,,,,60684.58287,14.32521913
12.1,2.01672,1.63081,0.00001,,,,,61762.81226,14.38427632
12.15,2.02562,1.61681,0,,,,,61232.5976,14.44775566
12.2,2.03406,1.63584,0.00001,,,,,61953.31081,14.50795405
12.25,2.04172,1.63432,0.00001,,,,,61895.74465,14.56258908
12.3,2.05016,1.63315,0,,,,,61851.43385,14.62278746
12.35,2.05906,1.64463,0,,,,,62286.20987,14.68626681
12.4,2.06703,1.66363,0.00001,,,,,63005.78691,14.74311291
12.45,2.075,1.69425,0.00002,,,,,64165.44212,14.79995902
12.5,2.08375,1.63251,-0.00003,,,,,61827.19547,14.86236849
12.55,2.09234,1.68707,0.00001,,,,,63893.51775,14.92363675
12.6,2.10016,1.70272,0.00001,,,,,64486.22199,14.97941298
12.65,2.10859,1.66606,-0.00001,,,,,63097.81703,15.03954004
12.7,2.11719,1.70724,0.00001,,,,,64657.40558,15.10087963
12.75,2.12531,1.72842,-0.00002,,,,,65459.54462,15.15879562
12.8,2.13328,1.70204,0.00002,,,,,64460.46871,15.21564172
12.85,2.14203,1.73372,0,,,,,65660.26874,15.27805119
12.9,2.15047,1.73014,-0.00003,,,,,65524.68528,15.33824958
12.95,2.15844,1.755,0.00006,,,,,66466.19503,15.39509569
13,2.16687,1.75086,-0.00001,,,,,66309.40298,15.45522275
13.05,2.17578,1.71836,-0.00003,,,,,65078.54751,15.51877342
13.1,2.18391,1.77976,0.00004,,,,,67403.91753,15.57676073
13.15,2.19172,1.79196,0,,,,,67865.96173,15.63246563
13.2,2.20031,1.76598,0.00001,,,,,66882.03481,15.6937339
13.25,2.20906,1.80743,0,,,,,68451.84893,15.75614336
13.3,2.21687,1.80177,-0.00001,,,,,68237.49072,15.81184827
13.35,2.225,1.79486,0.00003,,,,,67975.79191,15.86983558
13.4,2.23391,1.80487,-0.00001,,,,,68354.8954,15.93338624
13.45,2.24234,1.80554,-0.00001,,,,,68380.26996,15.99351331
13.5,2.25016,1.82554,0.00004,,,,,69137.71947,16.04928954
13.55,2.25859,1.80255,-0.00001,,,,,68267.03125,16.1094166
13.6,2.26734,1.82749,-0.00001,,,,,69211.5708,16.17182607
13.65,2.27531,1.83904,0.00002,,,,,69648.99789,16.22867217
13.7,2.28344,1.84979,-0.00001,,,,,70056.12701,16.28665948
13.75,2.29203,1.82929,0,,,,,69279.74126,16.34792775
13.8,2.30047,1.87483,0.00002,,,,,71004.4538,16.40812613
