Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
5.6,-10.05484,0.2392,0.00001,,,,,11632.62309,-190.1036063
5.65,-10.04656,0.21509,0,,,,,10460.12082,-189.9470591
5.7,-10.03781,0.22292,0,,,,,10840.90443,-189.7816256
5.75,-10.02953,0.2135,0.00001,,,,,10382.79695,-189.6250784
5.8,-10.02172,0.2261,0,,,,,10995.55218,-189.4774172
5.85,-10.01312,0.21915,0.00001,,,,,10657.56417,-189.3148198
5.9,-10.00438,0.23464,0.00001,,,,,11410.86405,-189.1495754
5.95,-9.99656,0.22864,0,,,,,11119.07585,-189.0017252
6,-9.98844,0.23444,0.00001,,,,,11401.13778,-188.848203
6.05,-9.97969,0.25148,0.00001,,,,,12229.81628,-188.6827696
6.1,-9.97109,0.25577,0,,,,,12438.44485,-188.5201722
6.15,-9.96344,0.23018,0.00001,,,,,11193.96815,-188.3755361
6.2,-9.95516,0.24727,0,,,,,12025.07822,-188.2189888
6.25,-9.94625,0.24418,0.00001,,,,,11874.8073,-188.0505303
6.3,-9.93813,0.2531,0.00001,,,,,12308.5991,-187.8970081
6.35,-9.93031,0.26179,0,,,,,12731.20568,-187.7491579
6.4,-9.92156,0.24465,0.00001,,,,,11897.66404,-187.5837245
6.45,-9.91297,0.24558,0.00001,,,,,11942.89121,-187.4213162
6.5,-9.905,0.24772,0.00001,,,,,12046.96234,-187.2706299
6.55,-9.89656,0.26018,0.00001,,,,,12652.90918,-187.1110576
6.6,-9.88797,0.26696,0.00001,,,,,12982.62985,-186.9486492
6.65,-9.87969,0.25989,0.00001,,,,,12638.80608,-186.792102
6.7,-9.87172,0.27186,0.00001,,,,,13220.92355,-186.6414157
6.75,-9.86312,0.25365,0.00001,,,,,12335.34635,-186.4788183
6.8,-9.85453,0.27128,0.00001,,,,,13192.71736,-186.31641
6.85,-9.84672,0.27243,0,,,,,13248.64343,-186.1687488
6.9,-9.83844,0.27775,0.00001,,,,,13507.3623,-186.0122016
6.95,-9.82953,0.27757,0,,,,,13498.60866,-185.8437431
7,-9.82141,0.27381,0,,,,,13315.75472,-185.6902209
7.05,-9.81344,0.28209,0.00001,,,,,13718.42244,-185.5395346
7.1,-9.80484,0.28154,0.00001,,,,,13691.67519,-185.3769372
7.15,-9.79609,0.28558,0,,,,,13888.14591,-185.2115038
7.2,-9.78828,0.28562,0.00001,,,,,13890.09116,-185.0638427
7.25,-9.78031,0.29322,0,,,,,14259.68956,-184.9131565
7.3,-9.77141,0.28993,0,,,,,14099.69236,-184.744887
7.35,-9.76281,0.30746,0.00001,,,,,14952.20023,-184.5822896
7.4,-9.755,0.29054,0,,,,,14129.35749,-184.4346285
7.45,-9.74672,0.2978,0.00001,,,,,14482.42122,-184.2780812
7.5,-9.73766,0.2915,0.00001,,,,,14176.0436,-184.1067867
7.55,-9.72953,0.29111,0,,,,,14157.07737,-183.9530754
7.6,-9.72172,0.31938,0.00001,,,,,15531.88613,-183.8054143
7.65,-9.71313,0.28857,0.00001,,,,,14033.5537,-183.6430059
7.7,-9.70438,0.29178,0,,,,,14189.66039,-183.4775725
7.75,-9.69656,0.29486,0.00001,,,,,14339.445,-183.3297223
7.8,-9.68844,0.29527,0,,,,,14359.38386,-183.1762001
7.85,-9.67953,0.30905,0,,,,,15029.5241,-183.0077416
7.9,-9.67109,0.32026,0.00001,,,,,15574.68173,-182.8481693
7.95,-9.66328,0.3079,0.00001,,,,,14973.59803,-182.7005081
8,-9.655,0.31606,0.00001,,,,,15370.42999,-182.5439608
8.05,-9.64625,0.31271,0,,,,,15207.51491,-182.3785274
8.1,-9.63828,0.33261,0,,,,,16175.27912,-182.2278412
8.15,-9.63016,0.31496,0.00001,,,,,15316.93548,-182.074319
8.2,-9.62125,0.32921,0,,,,,16009.93247,-181.9058605
8.25,-9.61297,0.32938,0.00001,,,,,16018.1998,-181.7493132
8.3,-9.60531,0.32719,0.00001,,,,,15911.69711,-181.6044881
8.35,-9.59656,0.31913,0,,,,,15519.72829,-181.4390547
8.4,-9.58766,0.33284,0.00001,,,,,16186.46433,-181.2707852
8.45,-9.57969,0.32805,0.00001,,,,,15953.52008,-181.120099
8.5,-9.57188,0.33494,0,,,,,16288.59021,-180.9724379
8.55,-9.56297,0.33849,0.00001,,,,,16461.23156,-180.8039794
8.6,-9.55437,0.33291,0,,,,,16189.86853,-180.641382
8.65,-9.54672,0.32757,0.00001,,,,,15930.17703,-180.4967459
8.7,-9.53844,0.34792,0.00001,,,,,16919.82536,-180.3401986
8.75,-9.52953,0.33035,0,,,,,16065.37223,-180.1717401
8.8,-9.52125,0.34836,0.00001,,,,,16941.22316,-180.0151929
8.85,-9.51344,0.33959,0.00001,,,,,16514.72606,-179.8675317
8.9,-9.50484,0.33731,0.00001,,,,,16403.84655,-179.7049343
8.95,-9.49625,0.3608,0.00001,,,,,17546.19737,-179.542526
9,-9.48828,0.37479,0,,,,,18226.5502,-179.3918397
9.05,-9.48016,0.35991,0.00001,,,,,17502.91545,-179.2383175
9.1,-9.47141,0.36646,0.00001,,,,,17821.45091,-179.0728841
9.15,-9.46313,0.35584,0,,,,,17304.98579,-178.9163368
9.2,-9.455,0.35434,0.00001,,,,,17232.03873,-178.7626256
9.25,-9.44656,0.35511,0,,,,,17269.48489,-178.6030532
9.3,-9.43797,0.33958,0,,,,,16514.23975,-178.4406449
9.35,-9.42984,0.3635,0.00002,,,,,17677.50206,-178.2869336
9.4,-9.42156,0.3789,0,,,,,18426.42512,-178.1303863
9.45,-9.41297,0.39889,0,,,,,19398.56615,-177.9679779
9.5,-9.40453,0.36194,0.00001,,,,,17601.63713,-177.8084056
9.55,-9.39672,0.39113,0.00001,,,,,19021.18674,-177.6607445
9.6,-9.38813,0.36115,0.00001,,,,,17563.21835,-177.4983361
9.65,-9.37953,0.38678,0.00001,,,,,18809.64029,-177.3357387
9.7,-9.37156,0.39927,0,,,,,19417.04607,-177.1850525
9.75,-9.36344,0.37373,0.00001,,,,,18175.00095,-177.0315303
